timeStamp,label,responseCode,responseMessage,grpThreads,allThreads
1608045309813,GET / HTTP/1.0,200,OK,1,1
1608045309814,GET / HTTP/1.0,200,OK,1,1
1608045309815,GET / HTTP/1.0,200,OK,1,1
1608045309816,GET / HTTP/1.0,200,OK,1,1
1608045309817,GET / HTTP/1.0,200,OK,2,2
1608045309817,GET / HTTP/1.0,200,OK,2,2
1608045309819,GET / HTTP/1.0,200,OK,1,1
1608045309820,GET / HTTP/1.0,200,OK,1,1
1608045309821,GET / HTTP/1.0,200,OK,1,1
1608045309822,GET / HTTP/1.0,200,OK,1,1
1608045309823,GET / HTTP/1.0,200,OK,1,1
1608045309824,GET / HTTP/1.0,200,OK,1,1
1608045309825,GET / HTTP/1.0,200,OK,1,1
1608045309826,GET / HTTP/1.0,200,OK,1,1
1608045309827,GET / HTTP/1.0,200,OK,1,1
1608045309828,GET / HTTP/1.0,200,OK,2,2
1608045309830,GET / HTTP/1.0,200,OK,2,2
1608045309830,GET / HTTP/1.0,200,OK,1,1
1608045309832,GET / HTTP/1.0,200,OK,1,1
1608045309833,GET / HTTP/1.0,200,OK,2,2
1608045309833,GET / HTTP/1.0,200,OK,2,2
1608045309834,GET / HTTP/1.0,200,OK,1,1
1608045309835,GET / HTTP/1.0,200,OK,1,1
1608045309836,GET / HTTP/1.0,200,OK,1,1
1608045309837,GET / HTTP/1.0,200,OK,1,1
1608045309838,GET / HTTP/1.0,200,OK,1,1
1608045309839,GET / HTTP/1.0,200,OK,1,1
1608045309840,GET / HTTP/1.0,200,OK,1,1
1608045309841,GET / HTTP/1.0,200,OK,2,2
1608045309842,GET / HTTP/1.0,200,OK,2,2
1608045309843,GET / HTTP/1.0,200,OK,1,1
1608045309844,GET / HTTP/1.0,200,OK,1,1
1608045309846,GET / HTTP/1.0,200,OK,2,2
1608045309846,GET / HTTP/1.0,200,OK,2,2
1608045309847,GET / HTTP/1.0,200,OK,1,1
1608045309848,GET / HTTP/1.0,200,OK,1,1
1608045309849,GET / HTTP/1.0,200,OK,1,1
1608045309850,GET / HTTP/1.0,200,OK,1,2
